Element,Concentration,New_Region
Iron,0.0955867,"1526,0.75"
Nickel,0,"1526,0.75"
Germanium,0.00437285,"1526,0.75"
Bromine,0.0736587,"1526,0.75"
Carbon,0.455034,"1526,0.75"
Oxygen,0.368525,"1526,0.75"
Aluminum,0.0167589,"1526,0.75"
Silicon,0.128726,"1526,0.75"
Phosphorus,0,"1526,0.75"
Sulfur,0.00128126,"1526,0.75"
Manganese,0.00560928,"1526,0.75"
Gold,0.0240663,"1526,0.75"
Oxygen,0.547972,"1526,0.75"
Magnesium,0,"1526,0.75"
Aluminum,0.00658956,"1526,0.75"
Silicon,0.145517,"1562,0.0"
Phosphorus,0,"1562,0.25"
Sulfur,0,"1562,0.5"
Potassium,0,"1562,0.75"
Calcium,0.00443414,"1563,0.0"
Titanium,0.00494699,"1563,0.25"
Chromium,0.00455694,"1563,0.5"
Manganese,0.00646962,"1563,0.75"
Iron,0.00848561,"1564,0.0"
Nickel,0.0272531,"1564,0.25"
Palladium,0.0551201,"1564,0.5"
Gold,0.188655,"1564,0.75"
Carbon,0.234721,"1565,0.0"
Oxygen,0.0718659,"1565,0.25"
Sodium,0.314476,"1565,0.5"
Silicon,0.0237685,"1565,0.75"
Phosphorus,0,"1566,0.0"
Sulfur,0.0011566,"1566,0.25"
Chlorine,0.0732218,"1566,0.5"
Manganese,0,"1566,0.75"
Bromine,0.28079,"1567,0.0"
Oxygen,0.559419,"1567,0.25"
Magnesium,0.0110855,"1567,0.5"
Aluminum,0.0179933,"1567,0.75"
Silicon,0.144925,"1568,0.0"
Phosphorus,0.0887642,"1568,0.25"
Sulfur,0.00168132,"1568,0.5"
Potassium,0.00275805,"1568,0.75"
Calcium,0.104934,"1569,0.0"
Titanium,0.00112568,"1569,0.25"
Chromium,0.00155538,"1569,0.5"
Manganese,0.00147215,"1569,0.75"
Iron,0.00337904,"1570,0.0"
Nickel,0,"1570,0.25"
Zinc,0.00494829,"1570,0.5"
Bromine,0.0425044,"1570,0.75"
Neodymium,0.0134547,"1571,0.0"
Oxygen,0.590568,"1571,0.25"
Magnesium,0.0265339,"1571,0.5"
Silicon,0.285518,"1571,0.75"
Phosphorus,0.0409154,"1572,0.0"
Sulfur,0.00143727,"1572,0.25"
Calcium,0.00862521,"1572,0.5"
Manganese,0.00167794,"1572,0.75"
Iron,0.0144428,"1573,0.0"
Germanium,0.00317489,"1573,0.25"
Bromine,0.0271068,"1573,0.5"
Oxygen,0.363754,"1573,0.75"
Magnesium,0,"1574,0.0"
Aluminum,0.126221,"1574,0.25"
Silicon,0.211103,"1574,0.5"
Phosphorus,0,"1574,0.75"
Sulfur,0.00228277,"1575,0.0"
Potassium,0.00280851,"1575,0.25"
Calcium,0.00273983,"1575,0.5"
Titanium,0.00229254,"1575,0.75"
Chromium,0.00703927,"1576,0.0"
Manganese,0.00666258,"1576,0.25"
Iron,0.0137634,"1576,0.5"
Nickel,0,"1576,0.75"
Zinc,0.0895789,"1577,0.0"
Bromine,0.171754,"1577,0.25"
Oxygen,0.348861,"1577,0.5"
Sodium,0.0956469,"1577,0.75"
Magnesium,0.00270017,"1578,0.0"
Aluminum,0.0900896,"1578,0.25"
Silicon,0.0946798,"1578,0.5"
Phosphorus,0.00105985,"1578,0.75"
Sulfur,0.0245718,"1579,0.0"
Chlorine,0.0657421,"1579,0.25"
Potassium,0.0562629,"1579,0.5"
Calcium,0.000819212,"1579,0.75"
Titanium,0.00137094,"1580,0.0"
Chromium,0,"1580,0.25"
Manganese,0,"1580,0.5"
Iron,0.115816,"1580,0.75"
Nickel,0.00167834,"1581,0.0"
Zinc,0.00703084,"1581,0.25"
Bromine,0.0936706,"1581,0.5"
Oxygen,0.620188,"1581,0.75"
Magnesium,0.110373,"1582,0.0"
Aluminum,0.00163161,"1582,0.25"
Silicon,0.198169,"1582,0.5"
Phosphorus,0.000710208,"1582,0.75"
Sulfur,0.000686069,"1583,0.0"
Potassium,0.00112543,"1583,0.25"
Calcium,0.00164687,"1583,0.5"
Titanium,0.000918674,"1583,0.75"
Chromium,0,"1584,0.0"
Manganese,0,"1584,0.25"
Iron,0.0634263,"1584,0.5"
Nickel,0.00112467,"1584,0.75"
Oxygen,0.577809,"1585,0.0"
Sodium,0.0298595,"1585,0.25"
Magnesium,0.00108611,"1585,0.5"
Aluminum,0.0195878,"1585,0.75"
Silicon,0.163619,"1586,0.0"
Phosphorus,0,"1586,0.25"
Sulfur,0.00247092,"1586,0.5"
Chlorine,0.0126633,"1586,0.75"
Potassium,0.0162133,"1587,0.0"
Calcium,0.00197711,"1587,0.25"
Titanium,0.00220577,"1587,0.5"
Chromium,0.0071115,"1587,0.75"
Manganese,0.00913485,"1588,0.0"
Iron,0.140938,"1588,0.25"
Nickel,0.000450062,"1588,0.5"
Bromine,0.0148728,"1588,0.75"
Oxygen,0.581953,"1589,0.0"
Magnesium,0.0063388,"1589,0.25"
Aluminum,0,"1589,0.5"
Silicon,0.111956,"1589,0.75"
Phosphorus,0.118431,"1590,0.0"
Sulfur,0.000961395,"1590,0.25"
Potassium,0.00551978,"1590,0.5"
Calcium,0.0215393,"1590,0.75"
Titanium,0.00450571,"1591,0.0"
Chromium,0.0160089,"1591,0.25"
Manganese,0.0303044,"1591,0.5"
Iron,0.0546528,"1591,0.75"
Nickel,0.00577869,"1592,0.0"
Ytterbium,0.04205,"1592,0.25"
Oxygen,0.603639,"1592,0.5"
Magnesium,0.109675,"1592,0.75"
Aluminum,0.00159514,"1593,0.0"
Silicon,0.238155,"1593,0.25"
Phosphorus,0.000694336,"1593,0.5"
Sulfur,0.000670736,"1593,0.75"
Potassium,0.00165042,"1594,0.0"
Calcium,0.00429352,"1594,0.25"
Titanium,0.00134721,"1594,0.5"
Chromium,0.00206832,"1594,0.75"
Manganese,0.00274069,"1595,0.0"
Iron,0.0327376,"1595,0.25"
Nickel,0.000733021,"1595,0.5"
Oxygen,0.280412,"1595,0.75"
Sodium,0.0248618,"1596,0.0"
Silicon,0.0688998,"1596,0.25"
Phosphorus,0,"1596,0.5"
Sulfur,0.00274314,"1596,0.75"
Chlorine,0.0285303,"1597,0.0"
Potassium,0.287992,"1597,0.25"
Manganese,0,"1597,0.5"
Bromine,0.306561,"1597,0.75"
Oxygen,0.242069,"1598,0.0"
Sodium,0.333233,"1598,0.25"
Silicon,0.0650569,"1598,0.5"
Phosphorus,0,"1598,0.75"
Sulfur,0.000850494,"1599,0.0"
Chlorine,0.331519,"1599,0.25"
Manganese,0.000992913,"1599,0.5"
Bromine,0.0262788,"1599,0.75"
Oxygen,0.144013,"1600,0.0"
Sodium,0.0522694,"1600,0.25"
Silicon,0.028532,"1600,0.5"
Phosphorus,0,"1600,0.75"
Sulfur,0.00312388,"1601,0.0"
Chlorine,0.0310776,"1601,0.25"
Potassium,0.358711,"1601,0.5"
Manganese,0.0018235,"1601,0.75"
Bromine,0.380449,"1602,0.0"
Oxygen,0.700627,"1602,0.25"
Sodium,0.0148539,"1602,0.5"
Aluminum,0.0150425,"1602,0.75"
Silicon,0.203718,"1603,0.0"
Iron,0.0657586,"1603,0.25"
Oxygen,0.513421,"1603,0.5"
Sodium,0.163974,"1603,0.75"
Aluminum,0.00803662,"1604,0.0"
Silicon,0.189046,"1604,0.25"
Phosphorus,0,"1604,0.5"
Sulfur,0.0925925,"1604,0.75"
Chlorine,0.0305623,"1605,0.0"
Manganese,0.0023671,"1605,0.25"
Oxygen,0.164923,"1605,0.5"
Sodium,0.394617,"1605,0.75"
Silicon,0.0505829,"1606,0.0"
Phosphorus,0,"1606,0.25"
Sulfur,0.000904191,"1606,0.5"
Chlorine,0.343455,"1606,0.75"
Manganese,0.000527801,"1607,0.0"
Bromine,0.044991,"1607,0.25"
Oxygen,0.236086,"1607,0.5"
Sodium,0.312909,"1607,0.75"
Silicon,0.0552052,"1608,0.0"
Chlorine,0.0818561,"1608,0.0"
Potassium,0.00915235,"1608,0.0"
Iron,0.0142388,"1608,0.0"
Bromine,0.290552,"1608,0.0"
Oxygen,0.593852,"1608,0.0"
Magnesium,0.0134335,"1608,0.0"
Aluminum,0.0565302,"1608,0.0"
Silicon,0.097891,"1608,0.0"
Phosphorus,0.0413038,"1608,0.0"
Sulfur,0.000848934,"1608,0.0"
Potassium,0.0020889,"1608,0.0"
Calcium,0.0876264,"1608,0.0"
Titanium,0.00113676,"1608,0.0"
Chromium,0.00314138,"1608,0.0"
Manganese,0.00198219,"1608,0.0"
Iron,0.00487472,"1608,0.0"
Nickel,0.000927767,"1608,0.0"
Bromine,0.0943621,"1608,0.0"
Oxygen,0.70576,"1608,0.0"
Magnesium,0.00162065,"1608,0.0"
Aluminum,0.000730703,"1608,0.0"
Silicon,0.282732,"1608,0.0"
Phosphorus,0.000636122,"1608,0.0"
Sulfur,0.000614502,"1608,0.0"
Potassium,0.000504017,"1608,0.0"
Calcium,0.000983387,"1608,0.0"
Titanium,0.000822842,"1608,0.0"
Chromium,0.000757964,"1608,0.0"
Manganese,0.00107611,"1608,0.0"
Iron,0.00141143,"1608,0.0"
Nickel,0.00235048,"1608,0.0"
Oxygen,0.537392,"1608,0.0"
Sodium,0.121194,"1608,0.0"
Aluminum,0.00954041,"1608,0.0"
Silicon,0.24045,"1608,0.0"
Phosphorus,0.000692126,"1608,0.0"
Sulfur,0.0661916,"1608,0.0"
Chlorine,0.022978,"1608,0.0"
Manganese,0.00156113,"1608,0.0"
Oxygen,0.537035,"1608,0.0"
Sodium,0.023007,"1608,0.0"
Aluminum,0.0149488,"1608,0.0"
Silicon,0.113925,"1608,0.0"
Phosphorus,0.00162673,"1608,0.0"
Sulfur,0.165002,"1608,0.0"
Potassium,0.0573563,"1608,0.0"
Manganese,0.00137594,"1608,0.0"
Iron,0.0857232,"1608,0.0"
Oxygen,0.250848,"1608,0.0"
Sodium,0.285402,"1608,0.0"
Silicon,0.130864,"1608,0.0"
Phosphorus,0,"1608,0.0"
Sulfur,0.00116963,"1608,0.0"
Chlorine,0.0740467,"1608,0.0"
Manganese,0,"1608,0.0"
Bromine,0.25767,"1608,0.0"
Oxygen,0.608832,"1608,0.0"
Sodium,0.0441378,"1608,0.0"
Silicon,0.32449,"1608,0.0"
Phosphorus,0,"1608,0.0"
Sulfur,0.000673507,"1608,0.0"
Manganese,0.000786289,"1608,0.0"
Bromine,0.0210805,"1608,0.0"
Oxygen,0.555444,"1608,0.0"
Magnesium,0,"1608,0.0"
Aluminum,0.00915329,"1608,0.0"
Silicon,0.348897,"1608,0.0"
Phosphorus,0.00079685,"1608,0.0"
Sulfur,0.000769767,"1608,0.0"
Potassium,0.00315683,"1608,0.0"
Calcium,0.000615929,"1608,0.0"
Titanium,0.00309224,"1608,0.0"
Chromium,0.00427265,"1608,0.0"
Manganese,0.00359467,"1608,0.0"
Iron,0.00839824,"1608,0.0"
Nickel,0.00126187,"1608,0.0"
Zinc,0.0305843,"1608,0.0"
Bromine,0.0299622,"1608,0.0"
Oxygen,0.671388,"1608,0.0"
Magnesium,0.0016668,"1608,0.0"
Aluminum,0.00676362,"1608,0.0"
Silicon,0.30738,"1608,0.0"
Phosphorus,0,"1608,0.0"
Sulfur,0,"1608,0.0"
Potassium,0.00103674,"1608,0.0"
Calcium,0.00252848,"1608,0.0"
Titanium,0.000846277,"1608,0.0"
Chromium,0.000779551,"1608,0.0"
Manganese,0.00147567,"1608,0.0"
Iron,0.0054436,"1608,0.0"
Nickel,0.000690691,"1608,0.0"
Oxygen,0.566961,"1608,0.0"
Magnesium,0,"1608,0.0"
Aluminum,0.00100704,"1608,0.0"
Silicon,0.204013,"1608,0.0"
Phosphorus,0.000876689,"1608,0.0"
Sulfur,0.000846892,"1608,0.0"
Potassium,0.00625162,"1608,0.0"
Calcium,0.00542112,"1608,0.0"
Titanium,0.00793815,"1608,0.0"
Chromium,0.0193253,"1608,0.0"
Manganese,0.0380653,"1608,0.0"
Iron,0.149294,"1608,0.0"
Nickel,0,"1608,0.0"
Oxygen,0.222069,"1608,0.0"
Sodium,0.35812,"1608,0.0"
Magnesium,0,"1608,0.0"
Aluminum,0.00898248,"1608,0.0"
Silicon,0.0747442,"1608,0.0"
Phosphorus,0,"1635,0.5"
Sulfur,0.00167867,"1635,0.75"
Chlorine,0.304397,"1636,0.0"
Potassium,0.00137685,"1636,0.25"
Calcium,0.000671594,"1636,0.5"
Titanium,0.0011239,"1636,0.75"
Chromium,0.00310587,"1637,0.0"
Manganese,0.00342961,"1637,0.25"
Iron,0.00722941,"1637,0.5"
Nickel,0.00229319,"1637,0.75"
Bromine,0.0107778,"1638,0.0"
Oxygen,0.719957,"1638,0.25"
Magnesium,0.015615,"1638,0.5"
Aluminum,0.00782263,"1638,0.75"
Silicon,0.0555794,"1639,0.0"
Phosphorus,0.080359,"1639,0.25"
Sulfur,0.000657862,"1639,0.5"
Potassium,0.00161874,"1639,0.75"
Calcium,0.109489,"1640,0.0"
Titanium,0.000880903,"1640,0.25"
Chromium,0.00162289,"1640,0.5"
Manganese,0.00192006,"1640,0.75"
Iron,0.0033998,"1641,0.0"
Nickel,0.00107843,"1641,0.25"
Oxygen,0.225217,"1641,0.5"
Sodium,0.346753,"1641,0.75"
Magnesium,0,"1642,0.0"
Aluminum,0.00884186,"1642,0.25"
Silicon,0.0754606,"1642,0.5"
Phosphorus,0,"1642,0.75"
Sulfur,0.000826196,"1643,0.0"
Chlorine,0.322795,"1643,0.25"
Potassium,0.0013553,"1643,0.5"
Calcium,0.00132216,"1643,0.75"
Titanium,0.00165946,"1644,0.0"
Chromium,0.00305724,"1644,0.25"
Manganese,0.00385819,"1644,0.5"
Iron,0.00569299,"1644,0.75"
Nickel,0.00316021,"1645,0.0"
Oxygen,0.560272,"1645,0.25"
Magnesium,0.00686833,"1645,0.5"
Aluminum,0,"1645,0.75"
Silicon,0.144699,"1646,0.0"
Phosphorus,0,"1646,0.25"
Sulfur,0.00347236,"1646,0.5"
Potassium,0,"1646,0.75"
Calcium,0.00555681,"1647,0.0"
Titanium,0.00697443,"1647,0.25"
Chromium,0.00428302,"1647,0.5"
Manganese,0.0101346,"1647,0.75"
Iron,0.00797554,"1648,0.0"
Nickel,0.0256149,"1648,0.25"
Palladium,0.0575631,"1648,0.5"
Gold,0.166586,"1648,0.75"
Oxygen,0.459361,"1649,0.0"
Magnesium,0.00190669,"1649,0.25"
Aluminum,0.00429837,"1649,0.5"
Silicon,0.499365,"1649,0.75"
Phosphorus,0.0029936,"1650,0.0"
Sulfur,0.00144593,"1650,0.25"
Potassium,0.00296489,"1650,0.5"
Calcium,0.0052063,"1650,0.75"
Titanium,0.00242019,"1651,0.0"
Chromium,0.00401286,"1651,0.25"
Manganese,0.00464215,"1651,0.5"
Iron,0.00664219,"1651,0.75"
Nickel,0.00474058,"1652,0.0"
Oxygen,0.249002,"1652,0.25"
Sodium,0.0428182,"1652,0.5"
Silicon,0.0621507,"1652,0.75"
Phosphorus,0,"1653,0.0"
Sulfur,0.00697918,"1653,0.25"
Chlorine,0.0252479,"1653,0.5"
Potassium,0.296522,"1653,0.75"
Manganese,0.000814788,"1654,0.0"
Bromine,0.316465,"1654,0.25"
Oxygen,0.667857,"1654,0.5"
Sodium,0.0162068,"1654,0.75"
Magnesium,0.0235017,"1655,0.0"
Silicon,0.106161,"1655,0.25"
Phosphorus,0.0585567,"1655,0.5"
Sulfur,0.000774883,"1655,0.75"
Manganese,0,"1656,0.0"
Iron,0.072527,"1656,0.25"
Bromine,0.0544149,"1656,0.5"
Oxygen,0.679993,"1656,0.75"
Sodium,0.0513529,"1657,0.0"
Silicon,0.0978414,"1657,0.25"
Phosphorus,0.000733175,"1657,0.5"
Sulfur,0.0715338,"1657,0.75"
Chlorine,0.00768655,"1658,0.0"
Potassium,0.0185893,"1658,0.25"
Manganese,0,"1658,0.5"
Iron,0.0483964,"1658,0.75"
Bromine,0.0238733,"1659,0.0"
Oxygen,0.611441,"1659,0.25"
Magnesium,0.0123336,"1659,0.5"
Aluminum,0.0102662,"1659,0.75"
Silicon,0.104318,"1660,0.0"
Phosphorus,0.0968213,"1660,0.25"
Sulfur,0.000719466,"1660,0.5"
Potassium,0.00177033,"1660,0.75"
Calcium,0.147374,"1661,0.0"
Titanium,0.00144509,"1661,0.25"
Chromium,0.00399345,"1661,0.5"
Manganese,0.00335978,"1661,0.75"
Iron,0.00537068,"1662,0.0"
Nickel,0.000786276,"1662,0.25"
Oxygen,0.709361,"1662,0.5"
Magnesium,0,"1662,0.75"
Aluminum,0.00219563,"1663,0.0"
Silicon,0.27897,"1663,0.25"
Phosphorus,0.000637145,"1663,0.5"
Sulfur,0.000615489,"1663,0.75"
Potassium,0.00100965,"1664,0.0"
Calcium,0.000492484,"1664,0.25"
Titanium,0.000412082,"1664,0.5"
Chromium,0.000759182,"1664,0.75"
Manganese,0.000718556,"1665,0.0"
Iron,0.00247397,"1665,0.25"
Nickel,0.00235425,"1665,0.5"
Oxygen,0.735357,"1665,0.75"
Silicon,0.25893,"1666,0.0"
Phosphorus,0,"1666,0.25"
Sulfur,0,"1666,0.5"
Manganese,0.000353977,"1666,0.75"
Germanium,0.00535817,"1667,0.0"
Oxygen,0.61156,"1667,0.25"
Magnesium,0.0570629,"1667,0.5"
Silicon,0.209341,"1667,0.75"
Phosphorus,0.0296107,"1668,0.0"
Sulfur,0.000733443,"1668,0.25"
Chlorine,0.00729658,"1668,0.5"
Calcium,0.00410805,"1668,0.75"
Manganese,0.00128439,"1669,0.0"
Iron,0.0505386,"1669,0.25"
Germanium,0.00550855,"1669,0.5"
Bromine,0.0229564,"1669,0.75"
Oxygen,0.571846,"1670,0.0"
Sodium,0.0402972,"1670,0.25"
Aluminum,0.0704932,"1670,0.5"
Silicon,0.200509,"1670,0.75"
Chlorine,0.00938269,"1671,0.0"
Potassium,0.00790141,"1671,0.25"
Iron,0.0995705,"1671,0.5"
Oxygen,0.604636,"1671,0.75"
Magnesium,0.0316541,"1672,0.0"
Silicon,0.255787,"1672,0.25"
Phosphorus,0.000828307,"1672,0.5"
Sulfur,0.00160031,"1672,0.75"
Manganese,0.000467072,"1673,0.0"
Iron,0.0192974,"1673,0.25"
Bromine,0.0857292,"1673,0.5"
Oxygen,0.446931,"1673,0.75"
Sodium,0.0425725,"1674,0.0"
Magnesium,0.00244011,"1674,0.25"
Aluminum,0.0363058,"1674,0.5"
Silicon,0.182742,"1674,0.75"
Phosphorus,0,"1675,0.0"
Sulfur,0.02128,"1675,0.25"
Chlorine,0.0460222,"1675,0.5"
Potassium,0.0500853,"1675,0.75"
Calcium,0.000740314,"1676,0.0"
Titanium,0.0012389,"1676,0.25"
Chromium,0.000570611,"1676,0.5"
Manganese,0,"1676,0.75"
Iron,0.100942,"1677,0.0"
Nickel,0.00101114,"1677,0.25"
Zinc,0.00363069,"1677,0.5"
Bromine,0.0634869,"1677,0.75"
Oxygen,0.616484,"1678,0.0"
Magnesium,0.00282964,"1678,0.25"
Aluminum,0.011057,"1678,0.5"
Silicon,0.276019,"1678,0.75"
Phosphorus,0.00222133,"1679,0.0"
Sulfur,0.00143055,"1679,0.25"
Potassium,0.00117335,"1679,0.5"
Calcium,0.00228932,"1679,0.75"
Titanium,0.00143668,"1680,0.0"
Chromium,0.0308793,"1680,0.25"
Manganese,0.0100207,"1680,0.5"
Iron,0.040251,"1680,0.75"
Nickel,0.00390849,"1681,0.0"
Oxygen,0.593481,"1681,0.25"
Magnesium,0.000923045,"1681,0.5"
Aluminum,0.00915584,"1681,0.75"
Silicon,0.350033,"1682,0.0"
Phosphorus,0.000724612,"1682,0.25"
Sulfur,0.000699983,"1682,0.5"
Potassium,0.00172239,"1682,0.75"
Calcium,0.00224037,"1683,0.0"
Titanium,0.00187461,"1683,0.25"
Chromium,0.00345361,"1683,0.5"
Manganese,0.002043,"1683,0.75"
Iron,0.00643107,"1684,0.0"
Nickel,0,"1684,0.25"
Zinc,0.0168243,"1684,0.5"
Bromine,0.0103928,"1684,0.75"
Oxygen,0.738049,"1685,0.0"
Silicon,0.25637,"1685,0.25"
Phosphorus,0.000624876,"1685,0.5"
Sulfur,0.000603638,"1685,0.75"
Manganese,0.00035236,"1686,0.0"
Germanium,0.00400028,"1686,0.25"
Oxygen,0.611057,"1686,0.5"
Magnesium,0.00760562,"1686,0.75"
Aluminum,0,"1687,0.0"
Silicon,0.0940694,"1687,0.25"
Phosphorus,0.0963823,"1687,0.5"
Sulfur,0.000823951,"1687,0.75"
Potassium,0.00337904,"1688,0.0"
Calcium,0.0665877,"1688,0.25"
Titanium,0.0022066,"1688,0.5"
Chromium,0.00863865,"1688,0.75"
Manganese,0.0144289,"1689,0.0"
Iron,0.0369038,"1689,0.25"
Nickel,0.00270139,"1689,0.5"
Bromine,0.0552155,"1689,0.75"
Carbon,0.162589,"1690,0.0"
Oxygen,0.562591,"1690,0.25"
Magnesium,0.00391667,"1690,0.5"
Aluminum,0,"1690,0.75"
Silicon,0.116142,"1691,0.0"
Phosphorus,0.0476575,"1691,0.25"
Sulfur,0.000742544,"1691,0.5"
Potassium,0.000609038,"1691,0.75"
Calcium,0.0338663,"1692,0.0"
Titanium,0.000994295,"1692,0.25"
Chromium,0,"1692,0.5"
Manganese,0.00260066,"1692,0.75"
Iron,0.00724847,"1693,0.0"
Nickel,0.00446323,"1693,0.25"
Bromine,0.0363517,"1693,0.5"
Lanthanum,0.0202273,"1693,0.75"
Oxygen,0.625855,"1694,0.0"
Sodium,0.0199192,"1694,0.25"
Aluminum,0.0372099,"1694,0.5"
Silicon,0.258627,"1694,0.75"
Chlorine,0.00799808,"1695,0.0"
Iron,0.0503904,"1695,0.25"
Oxygen,0.597535,"1695,0.5"
Magnesium,0.00293369,"1695,0.75"
Aluminum,0.0149908,"1696,0.0"
Silicon,0.309875,"1696,0.25"
Phosphorus,0,"1696,0.5"
Sulfur,0.000741581,"1696,0.75"
Potassium,0.00243299,"1697,0.0"
Calcium,0.0023735,"1697,0.25"
Titanium,0.00198601,"1697,0.5"
Chromium,0.00548827,"1697,0.75"
Manganese,0.00562745,"1698,0.0"
Iron,0.0136265,"1698,0.25"
Nickel,0.00162089,"1698,0.5"
Bromine,0.0407683,"1698,0.5"
Oxygen,0.67028,"1698,0.5"
Silicon,0.328368,"1698,0.5"
Phosphorus,0,"1698,0.5"
Sulfur,0.000623896,"1698,0.5"
Manganese,0.000728371,"1698,0.5"
Oxygen,0.647516,"1698,0.5"
Sodium,0.0125124,"1698,0.5"
Magnesium,0.017212,"1698,0.5"
Silicon,0.114559,"1698,0.5"
Phosphorus,0.0439134,"1698,0.5"
Sulfur,0.00163157,"1698,0.5"
Chlorine,0.0184449,"1698,0.5"
Manganese,0,"1698,0.5"
Iron,0.0679236,"1698,0.5"
Germanium,0.0144165,"1698,0.5"
Bromine,0.0618703,"1698,0.5"
Oxygen,0.650872,"1698,0.5"
Sodium,0.017826,"1698,0.5"
Magnesium,0.00674339,"1698,0.5"
Aluminum,0.0471262,"1698,0.5"
Silicon,0.253238,"1698,0.5"
Phosphorus,0.00132343,"1698,0.5"
Sulfur,0.000639224,"1698,0.5"
Potassium,0.00471865,"1698,0.5"
Calcium,0.00664917,"1698,0.5"
Titanium,0.000855946,"1698,0.5"
Chromium,0.00157692,"1698,0.5"
Manganese,0.00149253,"1698,0.5"
Iron,0.0062399,"1698,0.5"
Nickel,0.000698582,"1698,0.5"
Oxygen,0.689534,"1698,0.5"
Magnesium,0.00378823,"1698,0.5"
Aluminum,0.000854003,"1698,0.5"
Silicon,0.0631363,"1698,0.5"
Phosphorus,0.098137,"1698,0.5"
Sulfur,0.000718193,"1698,0.5"
Potassium,0.000589065,"1698,0.5"
Calcium,0.102865,"1698,0.5"
Titanium,0.000961689,"1698,0.5"
Chromium,0.0013288,"1698,0.5"
Manganese,0.00167692,"1698,0.5"
Iron,0.00659838,"1698,0.5"
Nickel,0.00156977,"1698,0.5"
Bromine,0.028243,"1698,0.5"
Oxygen,0.64405,"1698,0.5"
Magnesium,0.0157275,"1698,0.5"
Aluminum,0.00917669,"1698,0.5"
Silicon,0.0897099,"1698,0.5"
Phosphorus,0.0900564,"1698,0.5"
Sulfur,0.000701577,"1698,0.5"
Potassium,0.00287718,"1698,0.5"
Calcium,0.130237,"1698,0.5"
Titanium,0.00281832,"1698,0.5"
Chromium,0.00346147,"1698,0.5"
Manganese,0.00245718,"1698,0.5"
Iron,0.00604286,"1698,0.5"
Nickel,0.00268354,"1698,0.5"
Oxygen,0.223606,"1698,0.5"
Sodium,0.38888,"1698,0.5"
Silicon,0.060788,"1698,0.5"
Phosphorus,0,"1698,0.5"
Sulfur,0.00169029,"1698,0.5"
Chlorine,0.295038,"1698,0.5"
Manganese,0.000493333,"1698,0.5"
Bromine,0.0295048,"1698,0.5"
Oxygen,0.126558,"1698,0.5"
Sodium,0.128176,"1698,0.5"
Silicon,0.595778,"1698,0.5"
Phosphorus,0,"1698,0.5"
Sulfur,0.000928541,"1698,0.5"
Chlorine,0.0856568,"1698,0.5"
Manganese,0.00216806,"1698,0.5"
Bromine,0.0607341,"1717,0.0"
Oxygen,0.627946,"1717,0.25"
Magnesium,0.0891567,"1717,0.5"
Aluminum,0.0103481,"1717,0.75"
Silicon,0.221637,"1718,0.0"
Phosphorus,0.000692971,"1718,0.25"
Sulfur,0.000669418,"1718,0.5"
Potassium,0.00054906,"1718,0.75"
Calcium,0.00267817,"1719,0.0"
Titanium,0.000896377,"1719,0.25"
Chromium,0.00206425,"1719,0.5"
Manganese,0,"1719,0.75"
Iron,0.0418986,"1720,0.0"
Nickel,0.00146316,"1720,0.25"
Oxygen,0.55066,"1720,0.5"
Magnesium,0.00128013,"1720,0.75"
Aluminum,0.00230869,"1721,0.0"
Silicon,0.0919906,"1721,0.25"
Phosphorus,0.00100493,"1721,0.5"
Sulfur,0.000970774,"1721,0.75"
Potassium,0.00159247,"1722,0.0"
Calcium,0.000776765,"1722,0.25"
Titanium,0.000649953,"1722,0.5"
Chromium,0,"1722,0.75"
Manganese,0,"1723,0.0"
Iron,0.345052,"1723,0.25"
Nickel,0.00371322,"1723,0.5"
Oxygen,0.597633,"1723,0.75"
Silicon,0.113812,"1724,0.0"
Phosphorus,0.000929684,"1724,0.25"
Sulfur,0.000898086,"1724,0.5"
Manganese,0,"1724,0.75"
Iron,0.286727,"1725,0.0"
Oxygen,0.627287,"1725,0.25"
Magnesium,0.00471106,"1725,0.5"
Aluminum,0,"1725,0.75"
Silicon,0.265121,"1726,0.0"
Phosphorus,0.0251483,"1726,0.25"
Sulfur,0.000714518,"1726,0.5"
Potassium,0.00175815,"1726,0.75"
Calcium,0.0217254,"1727,0.0"
Titanium,0.00239192,"1727,0.25"
Chromium,0.00220333,"1727,0.5"
Manganese,0.00583917,"1727,0.75"
Iron,0.0147704,"1728,0.0"
Nickel,0.00195217,"1728,0.25"
Bromine,0.0263781,"1728,0.5"
Oxygen,0.279023,"1728,0.75"
Sodium,0.0441142,"1729,0.0"
Silicon,0.0751308,"1729,0.25"
Phosphorus,0,"1729,0.5"
Sulfur,0.00506206,"1729,0.75"
Chlorine,0.0320469,"1730,0.0"
Potassium,0.32904,"1730,0.25"
Manganese,0.00147743,"1730,0.5"
Bromine,0.234106,"1730,0.75"
Oxygen,0.229121,"1731,0.0"
Sodium,0.243771,"1731,0.25"
Silicon,0.0276367,"1731,0.25"
Sulfur,0.0107586,"1731,0.25"
Chlorine,0.0681107,"1731,0.25"
Potassium,0.0529457,"1731,0.25"
Iron,0.0471056,"1731,0.25"
Bromine,0.320551,"1731,0.25"
Oxygen,0.59107,"1731,0.25"
Sodium,0.0178257,"1731,0.25"
Magnesium,0.0112388,"1731,0.25"
Aluminum,0,"1731,0.25"
Silicon,0.125522,"1734,0.0"
Phosphorus,0.0538184,"1734,0.25"
