Element,Concentration,New_Region
Magnesium,0.0151776,"59,0.25"
Aluminum,0.164236,"59,0.5"
Silicon,0.15846,"59,0.75"
Phosphorus,0,"60,0.0"
Sulfur,0.000677048,"60,0.25"
Potassium,0.00166595,"60,0.25"
Calcium,0.0536322,"60,0.25"
Titanium,0,"60,0.25"
Chromium,0.000417556,"60,0.25"
Manganese,0,"60,0.25"
Iron,0.00855299,"60,0.25"
Nickel,0.00036996,"60,0.25"
Oxygen,0.565063,"60,0.25"
Magnesium,0.222322,"60,0.25"
Aluminum,0.00410815,"60,0.25"
Silicon,0.143574,"60,0.25"
Phosphorus,0,"60,0.25"
Sulfur,0.000690968,"60,0.25"
Potassium,0,"60,0.25"
Calcium,0.00276439,"60,0.25"
Titanium,0,"60,0.25"
Chromium,0.000426141,"60,0.25"
Manganese,0.000403337,"60,0.25"
Iron,0.0595148,"65,0.0"
Nickel,0.0011327,"65,0.25"
Oxygen,0.572541,"65,0.5"
Magnesium,0.146694,"65,0.75"
Aluminum,0.0298697,"66,0.0"
Silicon,0.154046,"66,0.25"
Phosphorus,0,"66,0.5"
Sulfur,0.00287081,"66,0.75"
Potassium,0.000588663,"67,0.0"
Calcium,0.0132082,"67,0.25"
Titanium,0,"67,0.5"
Chromium,0.00177052,"67,0.75"
Manganese,0.000418943,"68,0.0"
Iron,0.070884,"68,0.25"
Nickel,0.00235305,"68,0.5"
Germanium,0.00475617,"68,0.75"
Oxygen,0.567917,"69,0.0"
Magnesium,0.227779,"69,0.25"
Aluminum,0.00405925,"69,0.5"
Silicon,0.144204,"69,0.75"
Phosphorus,0,"70,0.0"
Sulfur,0,"70,0.25"
Potassium,0,"70,0.25"
Calcium,0.00273149,"70,0.25"
Titanium,0,"70,0.25"
Chromium,0.000421069,"70,0.25"
Manganese,0,"70,0.25"
Iron,0.0521417,"70,0.25"
Nickel,0.000746144,"70,0.25"
Oxygen,0.560855,"70,0.25"
Magnesium,0.231181,"70,0.25"
Aluminum,0.00245254,"70,0.25"
Silicon,0.145995,"70,0.25"
Phosphorus,0,"70,0.25"
Sulfur,0.000687507,"70,0.25"
Potassium,0,"70,0.25"
Calcium,0.00275054,"70,0.25"
Titanium,0,"70,0.25"
Chromium,0.000848013,"70,0.25"
Manganese,0,"74,0.75"
Iron,0.0544793,"75,0.0"
Nickel,0.000751349,"75,0.25"
Oxygen,0.589512,"75,0.5"
Sodium,0.0159534,"75,0.75"
Magnesium,0.0221875,"76,0.0"
Aluminum,0.148055,"76,0.25"
Silicon,0.156751,"76,0.5"
Phosphorus,0,"76,0.75"
Sulfur,0,"77,0.0"
Potassium,0.00055202,"77,0.25"
Calcium,0.0565448,"77,0.5"
Titanium,0,"77,0.75"
Chromium,0.000415076,"77,0.75"
Manganese,0,"77,0.75"
Iron,0.00966158,"77,0.75"
Nickel,0.000367762,"77,0.75"
Oxygen,0.595342,"77,0.75"
Magnesium,0.144207,"77,0.75"
Aluminum,0.0168567,"77,0.75"
Silicon,0.188049,"77,0.75"
Phosphorus,0,"77,0.75"
Sulfur,0.000675048,"77,0.75"
Potassium,0,"77,0.75"
Calcium,0.0135035,"77,0.75"
Titanium,0.000451958,"77,0.75"
Chromium,0.00374691,"77,0.75"
Manganese,0.000788088,"77,0.75"
Iron,0.0352738,"81,0.75"
Nickel,0.0011066,"82,0.0"
Oxygen,0.582324,"82,0.25"
Magnesium,0.149829,"82,0.5"
Aluminum,0.00855111,"82,0.75"
Silicon,0.162561,"83,0.0"
Phosphorus,0,"83,0.25"
Sulfur,0,"83,0.25"
Potassium,0.00058983,"83,0.25"
Calcium,0.00575408,"83,0.25"
Titanium,0,"83,0.25"
Chromium,0.000443507,"83,0.25"
Manganese,0.000419773,"83,0.25"
Iron,0.0879549,"83,0.25"
Nickel,0.00157181,"83,0.25"
Oxygen,0.589741,"83,0.25"
Magnesium,0.173596,"83,0.25"
Aluminum,0.00860965,"83,0.25"
Silicon,0.197641,"83,0.25"
Phosphorus,0,"83,0.25"
Sulfur,0,"83,0.25"
Potassium,0.000539879,"87,0.0"
Calcium,0.00368675,"87,0.25"
Titanium,0,"87,0.5"
Chromium,0.00162379,"87,0.75"
Manganese,0.000768449,"88,0.0"
Iron,0.0234338,"88,0.25"
Nickel,0.000359674,"88,0.5"
Oxygen,0.563574,"88,0.75"
Magnesium,0.228658,"89,0.0"
Aluminum,0.00246443,"89,0.0"
Silicon,0.145125,"89,0.0"
Phosphorus,0,"89,0.0"
Sulfur,0,"89,0.0"
Potassium,0,"89,0.0"
Calcium,0.00165833,"89,0.0"
Titanium,0,"89,0.0"
Chromium,0.000426063,"89,0.0"
Manganese,0,"89,0.0"
Iron,0.0527601,"89,0.0"
Nickel,0.000754993,"89,0.0"
Germanium,0.00457816,"89,0.0"
Oxygen,0.584564,"89,0.0"
Magnesium,0.140192,"89,0.0"
Aluminum,0.0196459,"92,0.75"
Silicon,0.153361,"93,0.0"
Phosphorus,0.000743609,"93,0.25"
Sulfur,0.00431001,"93,0.5"
Potassium,0.000589181,"93,0.75"
Calcium,0.00919641,"94,0.0"
Titanium,0,"94,0.25"
Chromium,0.00132906,"94,0.5"
Manganese,0,"94,0.75"
Iron,0.0833209,"95,0.0"
Nickel,0.00274764,"95,0.25"
Oxygen,0.565831,"95,0.5"
Sodium,0.0189697,"95,0.75"
Magnesium,0.0565113,"96,0.0"
Aluminum,0.0946375,"96,0.25"
Silicon,0.210463,"96,0.25"
Phosphorus,0,"96,0.25"
Sulfur,0.00136047,"96,0.25"
Potassium,0.0016738,"96,0.25"
Calcium,0.0261259,"96,0.25"
Titanium,0.000910862,"96,0.25"
Chromium,0.00125857,"96,0.25"
Manganese,0.000794145,"96,0.25"
Iron,0.0210925,"96,0.25"
Nickel,0.000371701,"96,0.25"
Oxygen,0.569764,"96,0.25"
Magnesium,0.243166,"96,0.25"
Aluminum,0.0031664,"96,0.25"
Silicon,0.143647,"99,0.75"
Phosphorus,0,"100,0.0"
Sulfur,0.000665715,"100,0.25"
Potassium,0,"100,0.5"
Calcium,0.00213069,"100,0.75"
Titanium,0,"101,0.0"
Chromium,0.000410567,"101,0.25"
Manganese,0.000388596,"101,0.5"
Iron,0.0359329,"101,0.75"
Nickel,0.000727534,"102,0.0"
Oxygen,0.589518,"102,0.25"
Magnesium,0.178407,"102,0.25"
Aluminum,0.00621747,"102,0.25"
Silicon,0.201473,"102,0.25"
Phosphorus,0,"102,0.25"
Sulfur,0.00065359,"102,0.25"
Potassium,0,"102,0.25"
Calcium,0.00261485,"102,0.25"
Titanium,0,"102,0.25"
Chromium,0.00161236,"102,0.25"
Manganese,0.000381519,"102,0.25"
Iron,0.0187651,"102,0.25"
Nickel,0.000357142,"102,0.25"
Oxygen,0.567309,"102,0.25"
Magnesium,0.254593,"102,0.25"
Aluminum,0.00234262,"102,0.25"
Silicon,0.1447,"102,0.25"
Phosphorus,0,"102,0.25"
Sulfur,0.000656695,"102,0.25"
Potassium,0,"102,0.25"
Calcium,0.00210182,"102,0.25"
Titanium,0,"102,0.25"
Chromium,0.000405004,"102,0.25"
Manganese,0.000383331,"102,0.25"
Iron,0.0271501,"102,0.25"
Nickel,0.000358838,"102,0.25"
Oxygen,0.570412,"102,0.25"
Magnesium,0.198398,"102,0.25"
Aluminum,0.00253166,"102,0.25"
Silicon,0.144222,"102,0.25"
Phosphorus,0,"102,0.25"
Sulfur,0.00141937,"102,0.25"
Potassium,0,"102,0.25"
Calcium,0.00113571,"102,0.25"
Titanium,0,"102,0.25"
Chromium,0.000437684,"102,0.25"
